stats_name,Algeria,Austria
Ball possession,65,35
Expected goals (xG),1.67,1.49
Total shots,12,10
Shots on target,5,3
Touches in opposition box,22,18
Big chances,3,3
Big chances missed,1,1
Accurate passes,706 (94%),346 (87%)
Yellow cards,0,1
Corners,0,3
Shots,0,0
Total shots,12,10
Shots off target,5,6
Shots on target,5,3
Blocked shots,2,1
Hit woodwork,1,0
Shots inside box,6,6
Shots outside box,6,4
Expected goals (xG),0,0
Expected goals (xG),1.67,1.49
xG open play,1.66,1.23
xG set play,0.01,0.26
xG non-penalty,1.67,1.49
xG on target (xGOT),2.79,1.32
Passes,0,0
Passes,754,396
Accurate passes,706 (94%),346 (87%)
Own half,305,182
Opposition half,401,164
Accurate long balls,26 (59%),14 (44%)
Accurate crosses,0 (0%),3 (23%)
Throws,16,10
Touches in opposition box,22,18
Offsides,1,3
Defence,0,0
Tackles,11,11
Interceptions,4,10
Blocks,1,2
Clearances,18,19
Keeper saves,0,2
Duels,0,0
Duels won,34,28
Ground duels won,30 (63%),18 (38%)
Aerial duels won,4 (29%),10 (71%)
Successful dribbles,13 (68%),4 (57%)
Discipline,0,0
Yellow cards,0,1
Red cards,0,0
Fouls committed,3,7
