stats_name,Argentina,Algeria
Ball possession,48,52
Expected goals (xG),1.26,0.32
Total shots,10,7
Shots on target,6,0
Touches in opposition box,12,14
Big chances,1,0
Big chances missed,0,0
Accurate passes,504 (90%),563 (92%)
Yellow cards,0,0
Corners,2,2
Shots,0,0
Total shots,10,7
Shots off target,4,4
Shots on target,6,0
Blocked shots,0,3
Hit woodwork,0,0
Shots inside box,4,3
Shots outside box,6,4
Expected goals (xG),0,0
Expected goals (xG),1.26,0.32
xG open play,1.18,0.18
xG set play,0.08,0.14
xG non-penalty,1.26,0.32
xG on target (xGOT),2.22,0.00
Passes,0,0
Passes,561,609
Accurate passes,504 (90%),563 (92%)
Own half,329,279
Opposition half,175,284
Accurate long balls,17 (53%),15 (60%)
Accurate crosses,1 (17%),1 (11%)
Throws,12,19
Touches in opposition box,12,14
Offsides,3,1
Defence,0,0
Tackles,27,17
Interceptions,10,8
Blocks,3,0
Clearances,17,12
Keeper saves,0,3
Duels,0,0
Duels won,39,43
Ground duels won,36 (49%),38 (51%)
Aerial duels won,3 (38%),5 (63%)
Successful dribbles,2 (22%),8 (35%)
Discipline,0,0
Yellow cards,0,0
Red cards,0,0
Fouls committed,13,8
