stats_name,Argentina,Austria
Ball possession,54,46
Expected goals (xG),2.36,0.53
Total shots,12,6
Shots on target,5,1
Touches in opposition box,19,18
Big chances,3,1
Big chances missed,3,1
Accurate passes,494 (89%),401 (86%)
Yellow cards,2,2
Corners,1,3
Shots,0,0
Total shots,12,6
Shots off target,4,5
Shots on target,5,1
Blocked shots,3,0
Hit woodwork,0,0
Shots inside box,10,4
Shots outside box,2,2
Expected goals (xG),0,0
Expected goals (xG),2.36,0.53
xG open play,1.46,0.39
xG set play,0.11,0.14
xG non-penalty,1.57,0.53
xG on target (xGOT),1.51,0.05
Passes,0,0
Passes,554,468
Accurate passes,494 (89%),401 (86%)
Own half,267,177
Opposition half,227,224
Accurate long balls,12 (44%),11 (52%)
Accurate crosses,1 (25%),3 (18%)
Throws,12,20
Touches in opposition box,19,18
Offsides,2,0
Defence,0,0
Tackles,21,12
Interceptions,8,9
Blocks,0,5
Clearances,35,15
Keeper saves,1,2
Duels,0,0
Duels won,50,46
Ground duels won,39 (57%),30 (43%)
Aerial duels won,11 (41%),16 (59%)
Successful dribbles,6 (55%),6 (38%)
Discipline,0,0
Yellow cards,2,2
Red cards,0,0
Fouls committed,13,13
