stats_name,Argentina,Cape Verde
Ball possession,64,36
Expected goals (xG),2.26,0.47
Total shots,22,16
Shots on target,10,5
Touches in opposition box,52,16
Big chances,3,0
Big chances missed,2,0
Accurate passes,779 (92%),409 (86%)
Yellow cards,1,1
Corners,8,8
Shots,0,0
Total shots,22,16
Shots off target,5,5
Shots on target,10,5
Blocked shots,7,6
Hit woodwork,0,0
Shots inside box,15,6
Shots outside box,7,10
Expected goals (xG),0,0
Expected goals (xG),2.26,0.47
xG open play,1.40,0.27
xG set play,0.85,0.21
xG non-penalty,2.26,0.47
xG on target (xGOT),2.42,1.48
Passes,0,0
Passes,850,476
Accurate passes,779 (92%),409 (86%)
Own half,292,228
Opposition half,487,181
Accurate long balls,25 (64%),23 (45%)
Accurate crosses,6 (40%),5 (25%)
Throws,16,18
Touches in opposition box,52,16
Offsides,3,2
Defence,0,0
Tackles,22,19
Interceptions,9,9
Blocks,6,7
Clearances,24,26
Keeper saves,3,8
Duels,0,0
Duels won,57,54
Ground duels won,43 (51%),42 (49%)
Aerial duels won,14 (54%),12 (46%)
Successful dribbles,10 (63%),12 (50%)
Discipline,0,0
Yellow cards,1,1
Red cards,0,0
Fouls committed,13,12
