stats_name,Argentina,Egypt
Ball possession,64,36
Expected goals (xG),2.84,0.89
Total shots,19,5
Shots on target,7,2
Touches in opposition box,34,8
Big chances,6,2
Big chances missed,4,0
Accurate passes,541 (90%),287 (82%)
Yellow cards,0,4
Corners,6,1
Shots,0,0
Total shots,19,5
Shots off target,8,3
Shots on target,7,2
Blocked shots,4,0
Hit woodwork,1,0
Shots inside box,11,4
Shots outside box,8,1
Expected goals (xG),0,0
Expected goals (xG),2.84,0.89
xG open play,1.76,0.78
xG set play,0.29,0.10
xG non-penalty,2.05,0.89
xG on target (xGOT),2.66,1.21
Passes,0,0
Passes,602,349
Accurate passes,541 (90%),287 (82%)
Own half,172,195
Opposition half,369,92
Accurate long balls,18 (60%),13 (35%)
Accurate crosses,8 (31%),2 (25%)
Throws,19,25
Touches in opposition box,34,8
Offsides,3,0
Defence,0,0
Tackles,20,16
Interceptions,7,9
Blocks,0,4
Clearances,14,44
Keeper saves,0,4
Duels,0,0
Duels won,50,47
Ground duels won,42 (51%),40 (49%)
Aerial duels won,8 (53%),7 (47%)
Successful dribbles,11 (69%),11 (42%)
Discipline,0,0
Yellow cards,0,4
Red cards,0,0
Fouls committed,13,11
