stats_name,Argentina,Switzerland
Ball possession,59,41
Expected goals (xG),1.94,0.47
Total shots,22,11
Shots on target,7,5
Touches in opposition box,34,20
Big chances,3,1
Big chances missed,2,0
Accurate passes,614 (89%),398 (84%)
Yellow cards,3,0
Corners,8,2
Shots,0,0
Total shots,22,11
Shots off target,8,3
Shots on target,7,5
Blocked shots,7,3
Hit woodwork,1,0
Shots inside box,12,5
Shots outside box,10,6
Expected goals (xG),0,0
Expected goals (xG),1.94,0.47
xG open play,1.51,0.47
xG set play,0.42,0.00
xG non-penalty,1.94,0.47
xG on target (xGOT),3.65,1.02
Passes,0,0
Passes,691,474
Accurate passes,614 (89%),398 (84%)
Own half,230,160
Opposition half,384,238
Accurate long balls,22 (43%),22 (42%)
Accurate crosses,7 (32%),3 (16%)
Throws,19,16
Touches in opposition box,34,20
Offsides,4,3
Defence,0,0
Tackles,17,11
Interceptions,13,4
Blocks,3,7
Clearances,31,28
Keeper saves,4,4
Duels,0,0
Duels won,62,44
Ground duels won,42 (58%),30 (42%)
Aerial duels won,20 (59%),14 (41%)
Successful dribbles,12 (75%),5 (36%)
Discipline,0,0
Yellow cards,3,0
Red cards,0,1
Fouls committed,14,18
