stats_name,Australia,Egypt
Ball possession,42,58
Expected goals (xG),0.84,1.32
Total shots,16,14
Shots on target,1,3
Touches in opposition box,34,30
Big chances,0,3
Big chances missed,0,2
Accurate passes,403 (80%),613 (85%)
Yellow cards,0,2
Corners,4,7
Shots,0,0
Total shots,16,14
Shots off target,6,5
Shots on target,1,3
Blocked shots,9,6
Hit woodwork,1,0
Shots inside box,11,8
Shots outside box,5,6
Expected goals (xG),0,0
Expected goals (xG),0.84,1.32
xG open play,0.31,0.96
xG set play,0.53,0.36
xG non-penalty,0.84,1.32
xG on target (xGOT),0.07,1.14
Passes,0,0
Passes,505,722
Accurate passes,403 (80%),613 (85%)
Own half,214,312
Opposition half,189,301
Accurate long balls,20 (34%),36 (47%)
Accurate crosses,7 (28%),6 (25%)
Throws,26,19
Touches in opposition box,34,30
Offsides,0,3
Defence,0,0
Tackles,10,15
Interceptions,9,8
Blocks,6,8
Clearances,31,37
Keeper saves,3,1
Duels,0,0
Duels won,64,62
Ground duels won,34 (49%),35 (51%)
Aerial duels won,30 (53%),27 (47%)
Successful dribbles,11 (69%),9 (56%)
Discipline,0,0
Yellow cards,0,2
Red cards,0,0
Fouls committed,12,14
