stats_name,Australia,Turkiye
Ball possession,28,72
Expected goals (xG),1.18,1.36
Total shots,9,30
Shots on target,4,8
Touches in opposition box,18,51
Big chances,1,2
Big chances missed,0,2
Accurate passes,201 (74%),635 (90%)
Yellow cards,0,1
Corners,5,8
Shots,0,0
Total shots,9,30
Shots off target,4,10
Shots on target,4,8
Blocked shots,1,12
Hit woodwork,0,1
Shots inside box,6,14
Shots outside box,3,16
Expected goals (xG),0,0
Expected goals (xG),1.18,1.36
xG open play,0.53,1.12
xG set play,0.65,0.24
xG non-penalty,1.18,1.36
xG on target (xGOT),1.08,1.46
Passes,0,0
Passes,271,704
Accurate passes,201 (74%),635 (90%)
Own half,132,179
Opposition half,69,456
Accurate long balls,16 (28%),19 (68%)
Accurate crosses,4 (29%),2 (8%)
Throws,14,24
Touches in opposition box,18,51
Offsides,1,3
Defence,0,0
Tackles,15,12
Interceptions,7,4
Blocks,12,1
Clearances,55,29
Keeper saves,8,2
Duels,0,0
Duels won,42,46
Ground duels won,27 (48%),29 (52%)
Aerial duels won,15 (47%),17 (53%)
Successful dribbles,8 (73%),5 (36%)
Discipline,0,0
Yellow cards,0,1
Red cards,0,0
Fouls committed,12,4
