stats_name,Austria,Jordan
Ball possession,63,37
Expected goals (xG),1.69,0.46
Total shots,11,11
Shots on target,4,4
Touches in opposition box,28,21
Big chances,4,0
Big chances missed,3,0
Accurate passes,487 (84%),241 (73%)
Yellow cards,1,0
Corners,4,3
Shots,0,0
Total shots,11,11
Shots off target,6,5
Shots on target,4,4
Blocked shots,1,2
Hit woodwork,0,1
Shots inside box,6,7
Shots outside box,5,4
Expected goals (xG),0,0
Expected goals (xG),1.69,0.46
xG open play,0.89,0.33
xG set play,0.01,0.13
xG non-penalty,0.90,0.46
xG on target (xGOT),1.29,1.18
Passes,0,0
Passes,580,332
Accurate passes,487 (84%),241 (73%)
Own half,239,141
Opposition half,248,100
Accurate long balls,18 (38%),23 (44%)
Accurate crosses,3 (18%),3 (20%)
Throws,21,19
Touches in opposition box,28,21
Offsides,3,1
Defence,0,0
Tackles,17,15
Interceptions,15,12
Blocks,2,2
Clearances,24,39
Keeper saves,3,1
Duels,0,0
Duels won,43,48
Ground duels won,27 (41%),39 (59%)
Aerial duels won,16 (64%),9 (36%)
Successful dribbles,4 (33%),15 (63%)
Discipline,0,0
Yellow cards,1,0
Red cards,0,0
Fouls committed,12,7
