stats_name,Belgium,Egypt
Ball possession,54,46
Expected goals (xG),1.35,1.08
Total shots,15,14
Shots on target,3,3
Touches in opposition box,31,27
Big chances,2,2
Big chances missed,2,2
Accurate passes,391 (86%),323 (81%)
Yellow cards,2,2
Corners,2,7
Shots,0,0
Total shots,15,14
Shots off target,7,4
Shots on target,3,3
Blocked shots,5,7
Hit woodwork,1,0
Shots inside box,9,10
Shots outside box,6,4
Expected goals (xG),0,0
Expected goals (xG),1.35,1.08
xG open play,0.77,0.99
xG set play,0.58,0.09
xG non-penalty,1.35,1.08
xG on target (xGOT),0.64,0.61
Passes,0,0
Passes,455,398
Accurate passes,391 (86%),323 (81%)
Own half,121,201
Opposition half,270,122
Accurate long balls,18 (60%),20 (38%)
Accurate crosses,6 (38%),2 (15%)
Throws,28,19
Touches in opposition box,31,27
Offsides,0,1
Defence,0,0
Tackles,17,28
Interceptions,10,16
Blocks,7,3
Clearances,25,17
Keeper saves,2,3
Duels,0,0
Duels won,58,59
Ground duels won,44 (47%),50 (53%)
Aerial duels won,14 (61%),9 (39%)
Successful dribbles,12 (48%),8 (53%)
Discipline,0,0
Yellow cards,2,2
Red cards,0,0
Fouls committed,15,15
