stats_name,Belgium,Iran
Ball possession,70,30
Expected goals (xG),1.79,0.62
Total shots,23,7
Shots on target,7,3
Touches in opposition box,42,15
Big chances,1,1
Big chances missed,1,1
Accurate passes,533 (86%),198 (73%)
Yellow cards,1,1
Corners,4,2
Shots,0,0
Total shots,23,7
Shots off target,10,3
Shots on target,7,3
Blocked shots,6,1
Hit woodwork,0,0
Shots inside box,20,6
Shots outside box,3,1
Expected goals (xG),0,0
Expected goals (xG),1.79,0.62
xG open play,1.61,0.17
xG set play,0.18,0.45
xG non-penalty,1.79,0.62
xG on target (xGOT),1.49,0.87
Passes,0,0
Passes,621,270
Accurate passes,533 (86%),198 (73%)
Own half,176,122
Opposition half,357,76
Accurate long balls,12 (34%),18 (36%)
Accurate crosses,6 (19%),2 (25%)
Throws,26,8
Touches in opposition box,42,15
Offsides,3,4
Defence,0,0
Tackles,12,19
Interceptions,3,12
Blocks,1,6
Clearances,11,51
Keeper saves,3,7
Duels,0,0
Duels won,52,43
Ground duels won,34 (57%),26 (43%)
Aerial duels won,18 (51%),17 (49%)
Successful dribbles,14 (67%),2 (40%)
Discipline,0,0
Yellow cards,1,1
Red cards,1,0
Fouls committed,7,9
