stats_name,Belgium,Senegal
Ball possession,52,48
Expected goals (xG),1.74,3.58
Total shots,19,19
Shots on target,5,5
Touches in opposition box,37,30
Big chances,3,6
Big chances missed,0,4
Accurate passes,602 (86%),536 (84%)
Yellow cards,1,1
Corners,4,2
Shots,0,0
Total shots,19,19
Shots off target,9,11
Shots on target,5,5
Blocked shots,5,3
Hit woodwork,0,2
Shots inside box,11,10
Shots outside box,8,9
Expected goals (xG),0,0
Expected goals (xG),1.74,3.58
xG open play,0.72,3.41
xG set play,0.23,0.17
xG non-penalty,0.96,3.58
xG on target (xGOT),2.30,1.85
Passes,0,0
Passes,701,639
Accurate passes,602 (86%),536 (84%)
Own half,315,236
Opposition half,287,300
Accurate long balls,25 (50%),34 (40%)
Accurate crosses,7 (27%),5 (23%)
Throws,16,19
Touches in opposition box,37,30
Offsides,2,2
Defence,0,0
Tackles,12,12
Interceptions,8,11
Blocks,2,5
Clearances,28,31
Keeper saves,3,3
Duels,0,0
Duels won,62,55
Ground duels won,34 (46%),40 (54%)
Aerial duels won,28 (65%),15 (35%)
Successful dribbles,11 (61%),9 (60%)
Discipline,0,0
Yellow cards,1,1
Red cards,0,0
Fouls committed,22,12
