stats_name,Bosnia and Herzegovina,Qatar
Ball possession,54,46
Expected goals (xG),0.68,0.77
Total shots,14,9
Shots on target,5,3
Touches in opposition box,20,16
Big chances,1,3
Big chances missed,1,2
Accurate passes,452 (88%),371 (85%)
Yellow cards,1,1
Corners,5,5
Shots,0,0
Total shots,14,9
Shots off target,4,6
Shots on target,5,3
Blocked shots,5,0
Hit woodwork,1,1
Shots inside box,4,5
Shots outside box,10,4
Expected goals (xG),0,0
Expected goals (xG),0.68,0.77
xG open play,0.37,0.66
xG set play,0.30,0.11
xG non-penalty,0.68,0.77
xG on target (xGOT),0.96,1.14
Passes,0,0
Passes,515,434
Accurate passes,452 (88%),371 (85%)
Own half,279,204
Opposition half,173,167
Accurate long balls,30 (60%),16 (31%)
Accurate crosses,3 (14%),5 (29%)
Throws,12,18
Touches in opposition box,20,16
Offsides,1,3
Defence,0,0
Tackles,10,13
Interceptions,4,4
Blocks,0,5
Clearances,22,24
Keeper saves,2,3
Duels,0,0
Duels won,42,28
Ground duels won,32 (57%),24 (43%)
Aerial duels won,10 (71%),4 (29%)
Successful dribbles,8 (62%),3 (43%)
Discipline,0,0
Yellow cards,1,1
Red cards,0,0
Fouls committed,9,14
