stats_name,Brazil,Haiti
Ball possession,57,43
Expected goals (xG),1.75,0.23
Total shots,8,7
Shots on target,5,3
Touches in opposition box,24,17
Big chances,5,0
Big chances missed,2,0
Accurate passes,462 (88%),332 (83%)
Yellow cards,1,3
Corners,4,4
Shots,0,0
Total shots,8,7
Shots off target,2,3
Shots on target,5,3
Blocked shots,1,1
Hit woodwork,0,0
Shots inside box,8,4
Shots outside box,0,3
Expected goals (xG),0,0
Expected goals (xG),1.75,0.23
xG open play,1.74,0.13
xG set play,0.01,0.11
xG non-penalty,1.75,0.23
xG on target (xGOT),2.33,0.43
Passes,0,0
Passes,525,399
Accurate passes,462 (88%),332 (83%)
Own half,278,159
Opposition half,184,173
Accurate long balls,20 (45%),31 (55%)
Accurate crosses,1 (11%),3 (27%)
Throws,20,14
Touches in opposition box,24,17
Offsides,8,4
Defence,0,0
Tackles,21,16
Interceptions,10,9
Blocks,1,1
Clearances,14,22
Keeper saves,3,2
Duels,0,0
Duels won,52,42
Ground duels won,38 (54%),32 (46%)
Aerial duels won,14 (58%),10 (42%)
Successful dribbles,4 (27%),3 (18%)
Discipline,0,0
Yellow cards,1,3
Red cards,0,0
Fouls committed,13,14
