stats_name,Brazil,Japan
Ball possession,69,31
Expected goals (xG),2.07,0.33
Total shots,19,5
Shots on target,7,2
Touches in opposition box,35,10
Big chances,5,0
Big chances missed,3,0
Accurate passes,625 (92%),260 (83%)
Yellow cards,2,3
Corners,6,2
Shots,0,0
Total shots,19,5
Shots off target,6,1
Shots on target,7,2
Blocked shots,6,2
Hit woodwork,1,0
Shots inside box,12,2
Shots outside box,7,3
Expected goals (xG),0,0
Expected goals (xG),2.07,0.33
xG open play,2.01,0.18
xG set play,0.06,0.14
xG non-penalty,2.07,0.33
xG on target (xGOT),1.45,0.78
Passes,0,0
Passes,682,313
Accurate passes,625 (92%),260 (83%)
Own half,190,151
Opposition half,435,109
Accurate long balls,21 (47%),24 (53%)
Accurate crosses,10 (26%),2 (18%)
Throws,21,16
Touches in opposition box,35,10
Offsides,1,0
Defence,0,0
Tackles,12,10
Interceptions,9,6
Blocks,2,6
Clearances,19,45
Keeper saves,1,4
Duels,0,0
Duels won,41,34
Ground duels won,28 (60%),19 (40%)
Aerial duels won,13 (46%),15 (54%)
Successful dribbles,6 (60%),5 (63%)
Discipline,0,0
Yellow cards,2,3
Red cards,0,0
Fouls committed,4,13
