stats_name,Brazil,Morocco
Ball possession,51,49
Expected goals (xG),1.26,1.37
Total shots,12,14
Shots on target,5,3
Touches in opposition box,22,13
Big chances,1,2
Big chances missed,1,1
Accurate passes,449 (87%),419 (86%)
Yellow cards,2,0
Corners,6,2
Shots,0,0
Total shots,12,14
Shots off target,4,5
Shots on target,5,3
Blocked shots,3,6
Hit woodwork,0,0
Shots inside box,9,7
Shots outside box,3,7
Expected goals (xG),0,0
Expected goals (xG),1.26,1.37
xG open play,1.03,1.23
xG set play,0.23,0.14
xG non-penalty,1.26,1.37
xG on target (xGOT),1.38,0.74
Passes,0,0
Passes,514,486
Accurate passes,449 (87%),419 (86%)
Own half,249,198
Opposition half,200,221
Accurate long balls,18 (50%),17 (33%)
Accurate crosses,4 (25%),2 (13%)
Throws,17,13
Touches in opposition box,22,13
Offsides,0,1
Defence,0,0
Tackles,23,26
Interceptions,5,5
Blocks,6,3
Clearances,23,17
Keeper saves,2,4
Duels,0,0
Duels won,53,62
Ground duels won,41 (41%),58 (59%)
Aerial duels won,12 (75%),4 (25%)
Successful dribbles,5 (19%),16 (55%)
Discipline,0,0
Yellow cards,2,0
Red cards,0,0
Fouls committed,16,14
