stats_name,Brazil,Norway
Ball possession,34,66
Expected goals (xG),2.61,1.05
Total shots,14,9
Shots on target,4,5
Touches in opposition box,33,15
Big chances,5,3
Big chances missed,4,2
Accurate passes,279 (84%),618 (91%)
Yellow cards,1,0
Corners,5,5
Shots,0,0
Total shots,14,9
Shots off target,6,3
Shots on target,4,5
Blocked shots,4,1
Hit woodwork,1,0
Shots inside box,10,7
Shots outside box,4,2
Expected goals (xG),0,0
Expected goals (xG),2.61,1.05
xG open play,0.95,0.79
xG set play,0.09,0.26
xG non-penalty,1.04,1.05
xG on target (xGOT),1.76,1.66
Passes,0,0
Passes,331,681
Accurate passes,279 (84%),618 (91%)
Own half,123,277
Opposition half,156,341
Accurate long balls,17 (44%),29 (54%)
Accurate crosses,1 (6%),1 (8%)
Throws,13,14
Touches in opposition box,33,15
Offsides,1,1
Defence,0,0
Tackles,23,14
Interceptions,11,6
Blocks,1,3
Clearances,21,18
Keeper saves,3,4
Duels,0,0
Duels won,43,43
Ground duels won,39 (55%),32 (45%)
Aerial duels won,4 (27%),11 (73%)
Successful dribbles,10 (56%),12 (60%)
Discipline,0,0
Yellow cards,1,0
Red cards,0,0
Fouls committed,7,6
