stats_name,Canada,Bosnia and Herzegovina
Ball possession,61,39
Expected goals (xG),1.23,0.96
Total shots,13,8
Shots on target,4,3
Touches in opposition box,37,15
Big chances,2,2
Big chances missed,2,1
Accurate passes,310 (74%),172 (63%)
Yellow cards,2,3
Corners,9,4
Shots,0,0
Total shots,13,8
Shots off target,5,4
Shots on target,4,3
Blocked shots,4,1
Hit woodwork,1,0
Shots inside box,10,5
Shots outside box,3,3
Expected goals (xG),0,0
Expected goals (xG),1.23,0.96
xG open play,0.97,0.02
xG set play,0.26,0.95
xG non-penalty,1.23,0.96
xG on target (xGOT),0.75,1.00
Passes,0,0
Passes,421,271
Accurate passes,310 (74%),172 (63%)
Own half,127,92
Opposition half,183,80
Accurate long balls,18 (44%),17 (27%)
Accurate crosses,5 (21%),6 (60%)
Throws,32,26
Touches in opposition box,37,15
Offsides,1,0
Defence,0,0
Tackles,23,20
Interceptions,4,11
Blocks,0,6
Clearances,21,70
Keeper saves,2,1
Duels,0,0
Duels won,71,79
Ground duels won,50 (58%),36 (42%)
Aerial duels won,21 (33%),43 (67%)
Successful dribbles,7 (50%),6 (26%)
Discipline,0,0
Yellow cards,2,3
Red cards,0,0
Fouls committed,10,20
