stats_name,Canada,Morocco
Ball possession,45,55
Expected goals (xG),0.84,0.82
Total shots,10,5
Shots on target,3,4
Touches in opposition box,33,9
Big chances,1,2
Big chances missed,1,1
Accurate passes,272 (76%),388 (82%)
Yellow cards,4,4
Corners,11,1
Shots,0,0
Total shots,10,5
Shots off target,4,1
Shots on target,3,4
Blocked shots,3,0
Hit woodwork,0,1
Shots inside box,6,3
Shots outside box,4,2
Expected goals (xG),0,0
Expected goals (xG),0.84,0.82
xG open play,0.37,0.75
xG set play,0.47,0.07
xG non-penalty,0.84,0.82
xG on target (xGOT),0.53,2.15
Passes,0,0
Passes,359,473
Accurate passes,272 (76%),388 (82%)
Own half,116,307
Opposition half,156,81
Accurate long balls,12 (39%),17 (33%)
Accurate crosses,8 (27%),1 (20%)
Throws,24,23
Touches in opposition box,33,9
Offsides,2,3
Defence,0,0
Tackles,18,13
Interceptions,5,9
Blocks,0,3
Clearances,10,47
Keeper saves,1,3
Duels,0,0
Duels won,54,59
Ground duels won,37 (48%),40 (52%)
Aerial duels won,17 (47%),19 (53%)
Successful dribbles,5 (50%),6 (43%)
Discipline,0,0
Yellow cards,4,4
Red cards,0,0
Fouls committed,24,14
