stats_name,Canada,Qatar
Ball possession,79,21
Expected goals (xG),4.60,0.22
Total shots,32,2
Shots on target,10,0
Touches in opposition box,97,1
Big chances,6,0
Big chances missed,3,0
Accurate passes,515 (91%),104 (64%)
Yellow cards,1,1
Corners,19,1
Shots,0,0
Total shots,32,2
Shots off target,8,1
Shots on target,10,0
Blocked shots,14,1
Hit woodwork,0,0
Shots inside box,21,1
Shots outside box,11,1
Expected goals (xG),0,0
Expected goals (xG),4.60,0.22
xG open play,3.77,0.18
xG set play,0.83,0.04
xG non-penalty,4.60,0.22
xG on target (xGOT),4.85,0.00
Passes,0,0
Passes,567,162
Accurate passes,515 (91%),104 (64%)
Own half,73,78
Opposition half,442,26
Accurate long balls,10 (63%),17 (31%)
Accurate crosses,13 (24%),1 (33%)
Throws,23,9
Touches in opposition box,97,1
Offsides,1,1
Defence,0,0
Tackles,9,16
Interceptions,6,10
Blocks,1,14
Clearances,3,61
Keeper saves,0,4
Duels,0,0
Duels won,33,34
Ground duels won,25 (48%),27 (52%)
Aerial duels won,8 (53%),7 (47%)
Successful dribbles,6 (55%),2 (40%)
Discipline,0,0
Yellow cards,1,1
Red cards,0,2
Fouls committed,9,10
