stats_name,Cape Verde,Saudi Arabia
Ball possession,51,49
Expected goals (xG),1.39,0.39
Total shots,15,7
Shots on target,2,3
Touches in opposition box,19,20
Big chances,1,1
Big chances missed,1,1
Accurate passes,381 (84%),359 (81%)
Yellow cards,1,3
Corners,4,2
Shots,0,0
Total shots,15,7
Shots off target,8,1
Shots on target,2,3
Blocked shots,5,3
Hit woodwork,0,0
Shots inside box,9,5
Shots outside box,6,2
Expected goals (xG),0,0
Expected goals (xG),1.39,0.39
xG open play,1.20,0.37
xG set play,0.19,0.02
xG non-penalty,1.39,0.39
xG on target (xGOT),0.51,0.33
Passes,0,0
Passes,451,444
Accurate passes,381 (84%),359 (81%)
Own half,197,195
Opposition half,184,164
Accurate long balls,29 (53%),21 (42%)
Accurate crosses,2 (11%),3 (27%)
Throws,21,27
Touches in opposition box,19,20
Offsides,2,0
Defence,0,0
Tackles,15,29
Interceptions,13,11
Blocks,3,5
Clearances,29,25
Keeper saves,3,2
Duels,0,0
Duels won,58,56
Ground duels won,40 (47%),45 (53%)
Aerial duels won,18 (62%),11 (38%)
Successful dribbles,10 (43%),6 (50%)
Discipline,0,0
Yellow cards,1,3
Red cards,0,0
Fouls committed,10,16
