stats_name,Colombia,DR Congo
Ball possession,64,36
Expected goals (xG),0.98,0.37
Total shots,20,7
Shots on target,9,1
Touches in opposition box,24,10
Big chances,2,0
Big chances missed,2,0
Accurate passes,473 (87%),226 (76%)
Yellow cards,2,1
Corners,5,4
Shots,0,0
Total shots,20,7
Shots off target,5,4
Shots on target,9,1
Blocked shots,6,2
Hit woodwork,1,0
Shots inside box,11,3
Shots outside box,9,4
Expected goals (xG),0,0
Expected goals (xG),0.98,0.37
xG open play,0.69,0.23
xG set play,0.29,0.13
xG non-penalty,0.98,0.37
xG on target (xGOT),1.39,0.08
Passes,0,0
Passes,541,299
Accurate passes,473 (87%),226 (76%)
Own half,218,140
Opposition half,255,86
Accurate long balls,40 (61%),14 (29%)
Accurate crosses,3 (25%),4 (29%)
Throws,13,20
Touches in opposition box,24,10
Offsides,7,0
Defence,0,0
Tackles,10,15
Interceptions,10,7
Blocks,2,6
Clearances,18,19
Keeper saves,1,8
Duels,0,0
Duels won,47,35
Ground duels won,28 (52%),26 (48%)
Aerial duels won,19 (68%),9 (32%)
Successful dribbles,3 (30%),0 (0%)
Discipline,0,0
Yellow cards,2,1
Red cards,0,0
Fouls committed,12,16
