stats_name,Colombia,Ghana
Ball possession,61,39
Expected goals (xG),2.04,0.27
Total shots,20,8
Shots on target,8,0
Touches in opposition box,19,8
Big chances,5,0
Big chances missed,4,0
Accurate passes,532 (91%),312 (83%)
Yellow cards,2,3
Corners,3,2
Shots,0,0
Total shots,20,8
Shots off target,8,3
Shots on target,8,0
Blocked shots,4,5
Hit woodwork,0,0
Shots inside box,12,2
Shots outside box,8,6
Expected goals (xG),0,0
Expected goals (xG),2.04,0.27
xG open play,1.70,0.24
xG set play,0.34,0.02
xG non-penalty,2.04,0.27
xG on target (xGOT),2.69,0.00
Passes,0,0
Passes,586,376
Accurate passes,532 (91%),312 (83%)
Own half,286,183
Opposition half,246,129
Accurate long balls,32 (58%),9 (20%)
Accurate crosses,5 (33%),2 (13%)
Throws,15,16
Touches in opposition box,19,8
Offsides,2,0
Defence,0,0
Tackles,12,13
Interceptions,5,5
Blocks,5,4
Clearances,24,11
Keeper saves,0,7
Duels,0,0
Duels won,35,37
Ground duels won,27 (45%),33 (55%)
Aerial duels won,8 (67%),4 (33%)
Successful dribbles,5 (42%),6 (55%)
Discipline,0,0
Yellow cards,2,3
Red cards,0,0
Fouls committed,14,10
