stats_name,Colombia,Portugal
Ball possession,55,45
Expected goals (xG),1.70,0.93
Total shots,24,13
Shots on target,6,2
Touches in opposition box,34,13
Big chances,2,2
Big chances missed,2,2
Accurate passes,485 (89%),405 (91%)
Yellow cards,1,0
Corners,5,2
Shots,0,0
Total shots,24,13
Shots off target,11,7
Shots on target,6,2
Blocked shots,7,4
Hit woodwork,0,0
Shots inside box,15,5
Shots outside box,9,8
Expected goals (xG),0,0
Expected goals (xG),1.70,0.93
xG open play,1.45,0.61
xG set play,0.25,0.32
xG non-penalty,1.70,0.93
xG on target (xGOT),0.61,0.47
Passes,0,0
Passes,544,446
Accurate passes,485 (89%),405 (91%)
Own half,193,202
Opposition half,292,203
Accurate long balls,25 (54%),20 (69%)
Accurate crosses,3 (27%),2 (15%)
Throws,10,9
Touches in opposition box,34,13
Offsides,3,2
Defence,0,0
Tackles,15,9
Interceptions,6,13
Blocks,4,7
Clearances,16,22
Keeper saves,2,6
Duels,0,0
Duels won,29,37
Ground duels won,24 (45%),29 (55%)
Aerial duels won,5 (38%),8 (62%)
Successful dribbles,4 (67%),8 (50%)
Discipline,0,0
Yellow cards,1,0
Red cards,0,0
Fouls committed,12,6
