stats_name,Croatia,Ghana
Ball possession,53,47
Expected goals (xG),0.42,0.64
Total shots,8,6
Shots on target,4,1
Touches in opposition box,9,9
Big chances,0,2
Big chances missed,0,1
Accurate passes,477 (91%),402 (88%)
Yellow cards,1,1
Corners,3,2
Shots,0,0
Total shots,8,6
Shots off target,2,3
Shots on target,4,1
Blocked shots,2,2
Hit woodwork,1,0
Shots inside box,3,3
Shots outside box,5,3
Expected goals (xG),0,0
Expected goals (xG),0.42,0.64
xG open play,0.27,0.08
xG set play,0.15,0.55
xG non-penalty,0.42,0.64
xG on target (xGOT),0.87,0.96
Passes,0,0
Passes,523,455
Accurate passes,477 (91%),402 (88%)
Own half,283,251
Opposition half,194,151
Accurate long balls,16 (42%),18 (46%)
Accurate crosses,3 (20%),3 (25%)
Throws,16,10
Touches in opposition box,9,9
Offsides,1,2
Defence,0,0
Tackles,14,13
Interceptions,4,9
Blocks,2,2
Clearances,23,11
Keeper saves,0,2
Duels,0,0
Duels won,42,38
Ground duels won,34 (54%),29 (46%)
Aerial duels won,8 (47%),9 (53%)
Successful dribbles,7 (54%),8 (44%)
Discipline,0,0
Yellow cards,1,1
Red cards,0,0
Fouls committed,9,13
