stats_name,Curacao,Ivory Coast
Ball possession,37,63
Expected goals (xG),0.50,1.31
Total shots,11,7
Shots on target,2,3
Touches in opposition box,18,22
Big chances,0,3
Big chances missed,0,1
Accurate passes,295 (83%),558 (89%)
Yellow cards,2,1
Corners,4,6
Shots,0,0
Total shots,11,7
Shots off target,7,3
Shots on target,2,3
Blocked shots,2,1
Hit woodwork,0,0
Shots inside box,5,5
Shots outside box,6,2
Expected goals (xG),0,0
Expected goals (xG),0.50,1.31
xG open play,0.28,1.31
xG set play,0.22,0.00
xG non-penalty,0.50,1.31
xG on target (xGOT),0.06,1.86
Passes,0,0
Passes,355,624
Accurate passes,295 (83%),558 (89%)
Own half,183,297
Opposition half,112,261
Accurate long balls,14 (47%),20 (53%)
Accurate crosses,5 (33%),3 (19%)
Throws,19,20
Touches in opposition box,18,22
Offsides,2,1
Defence,0,0
Tackles,17,16
Interceptions,15,12
Blocks,1,2
Clearances,17,19
Keeper saves,1,2
Duels,0,0
Duels won,45,42
Ground duels won,35 (50%),35 (50%)
Aerial duels won,10 (59%),7 (41%)
Successful dribbles,12 (71%),8 (50%)
Discipline,0,0
Yellow cards,2,1
Red cards,0,0
Fouls committed,11,6
