stats_name,Czechia,Mexico
Ball possession,52,48
Expected goals (xG),0.53,1.74
Total shots,13,11
Shots on target,1,5
Touches in opposition box,14,15
Big chances,0,5
Big chances missed,0,2
Accurate passes,333 (84%),330 (85%)
Yellow cards,0,1
Corners,5,1
Shots,0,0
Total shots,13,11
Shots off target,8,4
Shots on target,1,5
Blocked shots,4,2
Hit woodwork,0,0
Shots inside box,6,9
Shots outside box,7,2
Expected goals (xG),0,0
Expected goals (xG),0.53,1.74
xG open play,0.29,1.66
xG set play,0.24,0.09
xG non-penalty,0.53,1.74
xG on target (xGOT),0.13,2.35
Passes,0,0
Passes,398,386
Accurate passes,333 (84%),330 (85%)
Own half,217,179
Opposition half,116,151
Accurate long balls,20 (38%),34 (62%)
Accurate crosses,5 (19%),1 (8%)
Throws,20,20
Touches in opposition box,14,15
Offsides,1,0
Defence,0,0
Tackles,12,12
Interceptions,5,7
Blocks,2,3
Clearances,20,30
Keeper saves,2,1
Duels,0,0
Duels won,42,34
Ground duels won,29 (54%),25 (46%)
Aerial duels won,13 (59%),9 (41%)
Successful dribbles,5 (42%),4 (67%)
Discipline,0,0
Yellow cards,0,1
Red cards,0,0
Fouls committed,9,13
