stats_name,Czechia,South Africa
Ball possession,38,62
Expected goals (xG),1.02,1.38
Total shots,14,17
Shots on target,3,4
Touches in opposition box,16,20
Big chances,3,1
Big chances missed,2,0
Accurate passes,272 (80%),508 (90%)
Yellow cards,1,2
Corners,5,5
Shots,0,0
Total shots,14,17
Shots off target,8,5
Shots on target,3,4
Blocked shots,3,8
Hit woodwork,0,0
Shots inside box,11,6
Shots outside box,3,11
Expected goals (xG),0,0
Expected goals (xG),1.02,1.38
xG open play,0.50,0.53
xG set play,0.52,0.06
xG non-penalty,1.02,0.59
xG on target (xGOT),0.53,1.12
Passes,0,0
Passes,341,563
Accurate passes,272 (80%),508 (90%)
Own half,173,271
Opposition half,99,237
Accurate long balls,22 (49%),30 (52%)
Accurate crosses,7 (44%),4 (24%)
Throws,16,15
Touches in opposition box,16,20
Offsides,2,3
Defence,0,0
Tackles,12,20
Interceptions,9,9
Blocks,7,3
Clearances,22,24
Keeper saves,3,2
Duels,0,0
Duels won,45,47
Ground duels won,32 (46%),38 (54%)
Aerial duels won,13 (59%),9 (41%)
Successful dribbles,10 (71%),8 (62%)
Discipline,0,0
Yellow cards,1,2
Red cards,0,0
Fouls committed,12,10
