stats_name,DR Congo,Uzbekistan
Ball possession,58,42
Expected goals (xG),2.18,0.20
Total shots,19,3
Shots on target,4,1
Touches in opposition box,30,7
Big chances,3,0
Big chances missed,1,0
Accurate passes,400 (82%),269 (76%)
Yellow cards,3,2
Corners,2,4
Shots,0,0
Total shots,19,3
Shots off target,14,2
Shots on target,4,1
Blocked shots,1,0
Hit woodwork,0,0
Shots inside box,11,2
Shots outside box,8,1
Expected goals (xG),0,0
Expected goals (xG),2.18,0.20
xG open play,1.19,0.16
xG set play,0.19,0.05
xG non-penalty,1.39,0.20
xG on target (xGOT),2.35,0.29
Passes,0,0
Passes,485,355
Accurate passes,400 (82%),269 (76%)
Own half,203,128
Opposition half,197,141
Accurate long balls,28 (47%),21 (36%)
Accurate crosses,6 (27%),2 (13%)
Throws,26,23
Touches in opposition box,30,7
Offsides,3,1
Defence,0,0
Tackles,20,29
Interceptions,7,12
Blocks,0,1
Clearances,25,38
Keeper saves,1,1
Duels,0,0
Duels won,58,63
Ground duels won,46 (53%),40 (47%)
Aerial duels won,12 (34%),23 (66%)
Successful dribbles,11 (48%),5 (31%)
Discipline,0,0
Yellow cards,3,2
Red cards,0,0
Fouls committed,6,16
