stats_name,Ecuador,Curacao
Ball possession,75,25
Expected goals (xG),2.84,0.50
Total shots,27,10
Shots on target,15,3
Touches in opposition box,43,12
Big chances,6,0
Big chances missed,6,0
Accurate passes,581 (90%),159 (70%)
Yellow cards,1,5
Corners,9,0
Shots,0,0
Total shots,27,10
Shots off target,10,4
Shots on target,15,3
Blocked shots,2,3
Hit woodwork,1,0
Shots inside box,21,4
Shots outside box,6,6
Expected goals (xG),0,0
Expected goals (xG),2.84,0.50
xG open play,1.57,0.50
xG set play,1.27,0.00
xG non-penalty,2.84,0.50
xG on target (xGOT),2.27,0.88
Passes,0,0
Passes,644,227
Accurate passes,581 (90%),159 (70%)
Own half,204,89
Opposition half,377,70
Accurate long balls,14 (41%),15 (30%)
Accurate crosses,11 (33%),1 (100%)
Throws,18,15
Touches in opposition box,43,12
Offsides,1,2
Defence,0,0
Tackles,19,17
Interceptions,7,8
Blocks,2,2
Clearances,17,32
Keeper saves,3,15
Duels,0,0
Duels won,51,52
Ground duels won,36 (52%),33 (48%)
Aerial duels won,15 (44%),19 (56%)
Successful dribbles,8 (62%),9 (43%)
Discipline,0,0
Yellow cards,1,5
Red cards,0,0
Fouls committed,7,10
