stats_name,Ecuador,Germany
Ball possession,39,61
Expected goals (xG),1.27,0.65
Total shots,7,11
Shots on target,3,3
Touches in opposition box,18,20
Big chances,2,2
Big chances missed,1,1
Accurate passes,312 (83%),517 (87%)
Yellow cards,3,1
Corners,3,2
Shots,0,0
Total shots,7,11
Shots off target,2,3
Shots on target,3,3
Blocked shots,2,5
Hit woodwork,0,0
Shots inside box,5,6
Shots outside box,2,5
Expected goals (xG),0,0
Expected goals (xG),1.27,0.65
xG open play,0.68,0.53
xG set play,0.59,0.12
xG non-penalty,1.27,0.65
xG on target (xGOT),1.63,0.94
Passes,0,0
Passes,378,592
Accurate passes,312 (83%),517 (87%)
Own half,127,241
Opposition half,185,276
Accurate long balls,24 (48%),17 (46%)
Accurate crosses,3 (23%),5 (31%)
Throws,18,21
Touches in opposition box,18,20
Offsides,0,0
Defence,0,0
Tackles,26,20
Interceptions,12,4
Blocks,5,2
Clearances,30,15
Keeper saves,2,1
Duels,0,0
Duels won,54,52
Ground duels won,45 (52%),41 (48%)
Aerial duels won,9 (45%),11 (55%)
Successful dribbles,9 (47%),7 (32%)
Discipline,0,0
Yellow cards,3,1
Red cards,0,0
Fouls committed,15,10
