stats_name,Egypt,Iran
Ball possession,61,39
Expected goals (xG),0.84,1.97
Total shots,15,13
Shots on target,3,4
Touches in opposition box,28,26
Big chances,0,5
Big chances missed,0,4
Accurate passes,513 (87%),281 (77%)
Yellow cards,3,4
Corners,8,2
Shots,0,0
Total shots,15,13
Shots off target,6,6
Shots on target,3,4
Blocked shots,6,3
Hit woodwork,0,1
Shots inside box,8,10
Shots outside box,7,3
Expected goals (xG),0,0
Expected goals (xG),0.84,1.97
xG open play,0.55,0.59
xG set play,0.29,0.59
xG non-penalty,0.84,1.18
xG on target (xGOT),0.47,1.23
Passes,0,0
Passes,589,367
Accurate passes,513 (87%),281 (77%)
Own half,271,162
Opposition half,242,119
Accurate long balls,18 (41%),29 (44%)
Accurate crosses,4 (27%),1 (10%)
Throws,14,15
Touches in opposition box,28,26
Offsides,0,3
Defence,0,0
Tackles,17,22
Interceptions,7,8
Blocks,4,6
Clearances,38,32
Keeper saves,2,2
Duels,0,0
Duels won,63,71
Ground duels won,40 (50%),40 (50%)
Aerial duels won,23 (43%),31 (57%)
Successful dribbles,10 (45%),8 (53%)
Discipline,0,0
Yellow cards,3,4
Red cards,0,0
Fouls committed,11,16
