stats_name,England,Argentina
Ball possession,36,64
Expected goals (xG),0.53,1.59
Total shots,5,15
Shots on target,2,5
Touches in opposition box,7,28
Big chances,1,3
Big chances missed,0,2
Accurate passes,273 (84%),537 (91%)
Yellow cards,1,3
Corners,1,6
Shots,0,0
Total shots,5,15
Shots off target,1,7
Shots on target,2,5
Blocked shots,2,3
Hit woodwork,0,2
Shots inside box,2,7
Shots outside box,3,8
Expected goals (xG),0,0
Expected goals (xG),0.53,1.59
xG open play,0.47,1.39
xG set play,0.05,0.20
xG non-penalty,0.53,1.59
xG on target (xGOT),1.02,1.54
Passes,0,0
Passes,325,588
Accurate passes,273 (84%),537 (91%)
Own half,149,226
Opposition half,124,311
Accurate long balls,16 (38%),13 (48%)
Accurate crosses,3 (19%),6 (30%)
Throws,19,20
Touches in opposition box,7,28
Offsides,1,3
Defence,0,0
Tackles,15,20
Interceptions,9,6
Blocks,3,2
Clearances,27,31
Keeper saves,3,1
Duels,0,0
Duels won,50,52
Ground duels won,37 (46%),43 (54%)
Aerial duels won,13 (59%),9 (41%)
Successful dribbles,7 (37%),13 (81%)
Discipline,0,0
Yellow cards,1,3
Red cards,0,0
Fouls committed,11,15
