stats_name,England,Croatia
Ball possession,52,48
Expected goals (xG),3.20,0.70
Total shots,22,10
Shots on target,11,5
Touches in opposition box,37,16
Big chances,7,2
Big chances missed,5,1
Accurate passes,406 (86%),381 (86%)
Yellow cards,0,0
Corners,8,2
Shots,0,0
Total shots,22,10
Shots off target,6,3
Shots on target,11,5
Blocked shots,5,2
Hit woodwork,0,0
Shots inside box,20,4
Shots outside box,2,6
Expected goals (xG),0,0
Expected goals (xG),3.20,0.70
xG open play,1.38,0.32
xG set play,1.03,0.38
xG non-penalty,2.41,0.70
xG on target (xGOT),3.33,0.51
Passes,0,0
Passes,474,443
Accurate passes,406 (86%),381 (86%)
Own half,287,220
Opposition half,119,161
Accurate long balls,15 (37%),18 (43%)
Accurate crosses,6 (46%),2 (15%)
Throws,15,18
Touches in opposition box,37,16
Offsides,0,1
Defence,0,0
Tackles,9,11
Interceptions,7,9
Blocks,2,5
Clearances,16,17
Keeper saves,3,7
Duels,0,0
Duels won,40,42
Ground duels won,28 (52%),26 (48%)
Aerial duels won,12 (43%),16 (57%)
Successful dribbles,7 (50%),5 (50%)
Discipline,0,0
Yellow cards,0,0
Red cards,0,0
Fouls committed,10,12
