stats_name,England,DR Congo
Ball possession,60,40
Expected goals (xG),2.16,0.77
Total shots,16,7
Shots on target,7,2
Touches in opposition box,40,11
Big chances,7,1
Big chances missed,6,1
Accurate passes,468 (91%),299 (82%)
Yellow cards,1,1
Corners,5,3
Shots,0,0
Total shots,16,7
Shots off target,6,3
Shots on target,7,2
Blocked shots,3,2
Hit woodwork,0,1
Shots inside box,13,2
Shots outside box,3,5
Expected goals (xG),0,0
Expected goals (xG),2.16,0.77
xG open play,2.10,0.70
xG set play,0.06,0.07
xG non-penalty,2.16,0.77
xG on target (xGOT),2.44,0.30
Passes,0,0
Passes,517,365
Accurate passes,468 (91%),299 (82%)
Own half,150,176
Opposition half,318,123
Accurate long balls,19 (58%),18 (39%)
Accurate crosses,9 (21%),1 (8%)
Throws,15,24
Touches in opposition box,40,11
Offsides,0,4
Defence,0,0
Tackles,11,20
Interceptions,7,3
Blocks,2,4
Clearances,23,36
Keeper saves,1,5
Duels,0,0
Duels won,44,45
Ground duels won,30 (45%),36 (55%)
Aerial duels won,14 (61%),9 (39%)
Successful dribbles,7 (41%),6 (50%)
Discipline,0,0
Yellow cards,1,1
Red cards,0,0
Fouls committed,10,12
