stats_name,England,Ghana
Ball possession,79,21
Expected goals (xG),1.36,0.17
Total shots,19,2
Shots on target,3,1
Touches in opposition box,33,10
Big chances,2,1
Big chances missed,2,1
Accurate passes,586 (93%),127 (74%)
Yellow cards,1,1
Corners,9,2
Shots,0,0
Total shots,19,2
Shots off target,10,0
Shots on target,3,1
Blocked shots,6,1
Hit woodwork,1,0
Shots inside box,14,2
Shots outside box,5,0
Expected goals (xG),0,0
Expected goals (xG),1.36,0.17
xG open play,0.96,0.17
xG set play,0.39,0.00
xG non-penalty,1.36,0.17
xG on target (xGOT),0.37,0.00
Passes,0,0
Passes,633,172
Accurate passes,586 (93%),127 (74%)
Own half,198,82
Opposition half,388,45
Accurate long balls,14 (54%),24 (42%)
Accurate crosses,7 (23%),0 (0%)
Throws,22,9
Touches in opposition box,33,10
Offsides,2,2
Defence,0,0
Tackles,14,22
Interceptions,1,8
Blocks,1,6
Clearances,6,39
Keeper saves,0,3
Duels,0,0
Duels won,61,47
Ground duels won,43 (52%),39 (48%)
Aerial duels won,18 (69%),8 (31%)
Successful dribbles,7 (41%),4 (40%)
Discipline,0,0
Yellow cards,1,1
Red cards,0,0
Fouls committed,14,24
