stats_name,France,England
Ball possession,46,54
Expected goals (xG),2.88,2.88
Total shots,19,19
Shots on target,9,11
Touches in opposition box,55,34
Big chances,6,7
Big chances missed,2,4
Accurate passes,404 (91%),469 (91%)
Yellow cards,0,0
Corners,3,4
Shots,0,0
Total shots,19,19
Shots off target,6,2
Shots on target,9,11
Blocked shots,4,6
Hit woodwork,0,0
Shots inside box,12,16
Shots outside box,7,3
Expected goals (xG),0,0
Expected goals (xG),2.88,2.88
xG open play,2.88,1.88
xG set play,0.00,0.21
xG non-penalty,2.88,2.09
xG on target (xGOT),4.16,4.99
Passes,0,0
Passes,445,518
Accurate passes,404 (91%),469 (91%)
Own half,160,321
Opposition half,244,148
Accurate long balls,17 (65%),15 (43%)
Accurate crosses,0 (0%),4 (33%)
Throws,5,6
Touches in opposition box,55,34
Offsides,3,3
Defence,0,0
Tackles,16,27
Interceptions,9,11
Blocks,7,4
Clearances,10,12
Keeper saves,4,5
Duels,0,0
Duels won,39,69
Ground duels won,31 (33%),64 (67%)
Aerial duels won,8 (62%),5 (38%)
Successful dribbles,7 (37%),23 (85%)
Discipline,0,0
Yellow cards,0,0
Red cards,0,0
Fouls committed,14,8
