stats_name,France,Iraq
Ball possession,56,44
Expected goals (xG),2.67,0.63
Total shots,19,4
Shots on target,5,0
Touches in opposition box,41,7
Big chances,5,1
Big chances missed,3,1
Accurate passes,540 (90%),413 (86%)
Yellow cards,0,1
Corners,4,2
Shots,0,0
Total shots,19,4
Shots off target,10,3
Shots on target,5,0
Blocked shots,4,1
Hit woodwork,1,0
Shots inside box,12,3
Shots outside box,7,1
Expected goals (xG),0,0
Expected goals (xG),2.67,0.63
xG open play,2.57,0.54
xG set play,0.10,0.09
xG non-penalty,2.67,0.63
xG on target (xGOT),2.28,0.00
Passes,0,0
Passes,603,481
Accurate passes,540 (90%),413 (86%)
Own half,152,325
Opposition half,388,88
Accurate long balls,17 (57%),21 (41%)
Accurate crosses,2 (14%),4 (44%)
Throws,17,15
Touches in opposition box,41,7
Offsides,1,0
Defence,0,0
Tackles,14,16
Interceptions,5,10
Blocks,1,4
Clearances,9,28
Keeper saves,0,2
Duels,0,0
Duels won,40,38
Ground duels won,30 (50%),30 (50%)
Aerial duels won,10 (56%),8 (44%)
Successful dribbles,12 (60%),6 (55%)
Discipline,0,0
Yellow cards,0,1
Red cards,0,0
Fouls committed,8,4
