stats_name,France,Morocco
Ball possession,48,52
Expected goals (xG),3.69,0.14
Total shots,22,5
Shots on target,8,1
Touches in opposition box,28,8
Big chances,6,0
Big chances missed,6,0
Accurate passes,432 (89%),452 (86%)
Yellow cards,0,1
Corners,5,5
Shots,0,0
Total shots,22,5
Shots off target,9,3
Shots on target,8,1
Blocked shots,5,1
Hit woodwork,1,0
Shots inside box,12,1
Shots outside box,10,4
Expected goals (xG),0,0
Expected goals (xG),3.69,0.14
xG open play,1.71,0.05
xG set play,1.19,0.09
xG non-penalty,2.90,0.14
xG on target (xGOT),2.88,0.04
Passes,0,0
Passes,486,526
Accurate passes,432 (89%),452 (86%)
Own half,168,285
Opposition half,264,167
Accurate long balls,14 (47%),11 (28%)
Accurate crosses,5 (42%),2 (15%)
Throws,17,18
Touches in opposition box,28,8
Offsides,0,0
Defence,0,0
Tackles,11,16
Interceptions,13,6
Blocks,1,5
Clearances,20,12
Keeper saves,1,6
Duels,0,0
Duels won,43,36
Ground duels won,31 (47%),35 (53%)
Aerial duels won,12 (92%),1 (8%)
Successful dribbles,9 (43%),11 (58%)
Discipline,0,0
Yellow cards,0,1
Red cards,0,0
Fouls committed,10,13
