stats_name,France,Senegal
Ball possession,53,47
Expected goals (xG),1.79,0.53
Total shots,11,6
Shots on target,8,2
Touches in opposition box,19,13
Big chances,4,2
Big chances missed,2,2
Accurate passes,505 (88%),430 (86%)
Yellow cards,0,0
Corners,6,4
Shots,0,0
Total shots,11,6
Shots off target,1,3
Shots on target,8,2
Blocked shots,2,1
Hit woodwork,0,1
Shots inside box,7,4
Shots outside box,4,2
Expected goals (xG),0,0
Expected goals (xG),1.79,0.53
xG open play,1.79,0.53
xG non-penalty,1.79,0.53
xG on target (xGOT),2.06,0.17
Passes,0,0
Passes,575,502
Accurate passes,505 (88%),430 (86%)
Own half,281,264
Opposition half,224,166
Accurate long balls,20 (45%),25 (51%)
Accurate crosses,0 (0%),1 (11%)
Throws,9,21
Touches in opposition box,19,13
Offsides,1,3
Defence,0,0
Tackles,19,14
Interceptions,7,8
Blocks,1,2
Clearances,14,17
Keeper saves,2,5
Duels,0,0
Duels won,44,35
Ground duels won,32 (54%),27 (46%)
Aerial duels won,12 (60%),8 (40%)
Successful dribbles,5 (33%),8 (57%)
Discipline,0,0
Yellow cards,0,0
Red cards,0,0
Fouls committed,5,9
