stats_name,France,Spain
Ball possession,49,51
Expected goals (xG),0.31,1.63
Total shots,10,10
Shots on target,3,2
Touches in opposition box,19,13
Big chances,0,3
Big chances missed,0,1
Accurate passes,395 (84%),427 (85%)
Yellow cards,2,1
Corners,7,1
Shots,0,0
Total shots,10,10
Shots off target,5,5
Shots on target,3,2
Blocked shots,2,3
Hit woodwork,0,0
Shots inside box,4,5
Shots outside box,6,5
Expected goals (xG),0,0
Expected goals (xG),0.31,1.63
xG open play,0.16,0.79
xG set play,0.15,0.05
xG non-penalty,0.31,0.85
xG on target (xGOT),0.07,1.57
Passes,0,0
Passes,472,502
Accurate passes,395 (84%),427 (85%)
Own half,219,247
Opposition half,176,180
Accurate long balls,19 (53%),14 (27%)
Accurate crosses,4 (20%),1 (14%)
Throws,22,16
Touches in opposition box,19,13
Offsides,4,5
Defence,0,0
Tackles,13,22
Interceptions,8,7
Blocks,3,2
Clearances,11,22
Keeper saves,0,3
Duels,0,0
Duels won,44,52
Ground duels won,36 (51%),35 (49%)
Aerial duels won,8 (32%),17 (68%)
Successful dribbles,11 (46%),2 (40%)
Discipline,0,0
Yellow cards,2,1
Red cards,0,0
Fouls committed,11,12
