stats_name,France,Sweden
Ball possession,61,39
Expected goals (xG),3.24,0.70
Total shots,25,8
Shots on target,12,3
Touches in opposition box,35,14
Big chances,7,1
Big chances missed,5,1
Accurate passes,484 (88%),278 (79%)
Yellow cards,0,0
Corners,9,1
Shots,0,0
Total shots,25,8
Shots off target,9,4
Shots on target,12,3
Blocked shots,4,1
Hit woodwork,2,0
Shots inside box,16,7
Shots outside box,9,1
Expected goals (xG),0,0
Expected goals (xG),3.24,0.70
xG open play,2.90,0.51
xG set play,0.34,0.19
xG non-penalty,3.24,0.70
xG on target (xGOT),3.83,0.65
Passes,0,0
Passes,551,350
Accurate passes,484 (88%),278 (79%)
Own half,161,160
Opposition half,323,118
Accurate long balls,17 (47%),11 (24%)
Accurate crosses,4 (24%),3 (27%)
Throws,10,19
Touches in opposition box,35,14
Offsides,3,1
Defence,0,0
Tackles,13,13
Interceptions,5,12
Blocks,1,4
Clearances,23,26
Keeper saves,3,9
Duels,0,0
Duels won,46,40
Ground duels won,33 (50%),33 (50%)
Aerial duels won,13 (65%),7 (35%)
Successful dribbles,11 (52%),7 (64%)
Discipline,0,0
Yellow cards,0,0
Red cards,0,0
Fouls committed,14,10
