stats_name,Germany,Curacao
Ball possession,65,35
Expected goals (xG),4.22,0.41
Total shots,26,8
Shots on target,12,2
Touches in opposition box,63,10
Big chances,6,0
Big chances missed,2,0
Accurate passes,554 (87%),282 (82%)
Yellow cards,0,0
Corners,8,1
Shots,0,0
Total shots,26,8
Shots off target,6,6
Shots on target,12,2
Blocked shots,8,0
Hit woodwork,1,0
Shots inside box,21,4
Shots outside box,5,4
Expected goals (xG),0,0
Expected goals (xG),4.22,0.41
xG open play,2.99,0.23
xG set play,0.44,0.18
xG non-penalty,3.43,0.41
xG on target (xGOT),5.24,0.50
Passes,0,0
Passes,637,343
Accurate passes,554 (87%),282 (82%)
Own half,193,170
Opposition half,361,112
Accurate long balls,12 (48%),17 (39%)
Accurate crosses,5 (42%),2 (29%)
Throws,17,9
Touches in opposition box,63,10
Offsides,0,1
Defence,0,0
Tackles,19,16
Interceptions,12,16
Blocks,0,9
Clearances,8,25
Keeper saves,1,4
Duels,0,0
Duels won,47,50
Ground duels won,38 (46%),45 (54%)
Aerial duels won,9 (64%),5 (36%)
Successful dribbles,9 (50%),12 (57%)
Discipline,0,0
Yellow cards,0,0
Red cards,0,0
Fouls committed,18,11
