stats_name,Germany,Ivory Coast
Ball possession,60,40
Expected goals (xG),1.89,1.22
Total shots,16,9
Shots on target,7,2
Touches in opposition box,33,22
Big chances,5,2
Big chances missed,3,1
Accurate passes,555 (89%),367 (85%)
Yellow cards,0,0
Corners,8,3
Shots,0,0
Total shots,16,9
Shots off target,5,2
Shots on target,7,2
Blocked shots,4,5
Hit woodwork,0,0
Shots inside box,9,6
Shots outside box,7,3
Expected goals (xG),0,0
Expected goals (xG),1.89,1.22
xG open play,1.80,1.22
xG set play,0.09,0.00
xG non-penalty,1.89,1.22
xG on target (xGOT),2.36,1.11
Passes,0,0
Passes,624,431
Accurate passes,555 (89%),367 (85%)
Own half,201,207
Opposition half,354,160
Accurate long balls,18 (58%),28 (49%)
Accurate crosses,5 (24%),5 (56%)
Throws,18,24
Touches in opposition box,33,22
Offsides,0,1
Defence,0,0
Tackles,26,20
Interceptions,8,13
Blocks,5,4
Clearances,14,26
Keeper saves,1,5
Duels,0,0
Duels won,48,54
Ground duels won,38 (46%),44 (54%)
Aerial duels won,10 (50%),10 (50%)
Successful dribbles,6 (38%),20 (61%)
Discipline,0,0
Yellow cards,0,0
Red cards,0,0
Fouls committed,5,7
