stats_name,Germany,Paraguay
Ball possession,76,24
Expected goals (xG),1.57,0.35
Total shots,21,7
Shots on target,6,3
Touches in opposition box,43,12
Big chances,2,3
Big chances missed,2,2
Accurate passes,725 (90%),160 (63%)
Yellow cards,2,2
Corners,16,6
Shots,0,0
Total shots,21,7
Shots off target,7,2
Shots on target,6,3
Blocked shots,8,2
Hit woodwork,0,0
Shots inside box,11,6
Shots outside box,10,1
Expected goals (xG),0,0
Expected goals (xG),1.57,0.35
xG open play,1.08,0.14
xG set play,0.49,0.21
xG non-penalty,1.57,0.35
xG on target (xGOT),1.87,0.49
Passes,0,0
Passes,805,255
Accurate passes,725 (90%),160 (63%)
Own half,203,84
Opposition half,522,76
Accurate long balls,27 (68%),20 (26%)
Accurate crosses,9 (16%),6 (29%)
Throws,23,12
Touches in opposition box,43,12
Offsides,4,1
Defence,0,0
Tackles,13,33
Interceptions,4,13
Blocks,2,8
Clearances,23,55
Keeper saves,2,6
Duels,0,0
Duels won,61,76
Ground duels won,40 (41%),57 (59%)
Aerial duels won,21 (53%),19 (48%)
Successful dribbles,15 (43%),8 (57%)
Discipline,0,0
Yellow cards,2,2
Red cards,0,0
Fouls committed,18,12
