stats_name,Ghana,Panama
Ball possession,38,62
Expected goals (xG),1.25,0.73
Total shots,7,11
Shots on target,2,4
Touches in opposition box,14,19
Big chances,1,2
Big chances missed,0,2
Accurate passes,292 (83%),503 (86%)
Yellow cards,1,2
Corners,2,2
Shots,0,0
Total shots,7,11
Shots off target,4,5
Shots on target,2,4
Blocked shots,1,2
Hit woodwork,0,0
Shots inside box,6,6
Shots outside box,1,5
Expected goals (xG),0,0
Expected goals (xG),1.25,0.73
xG open play,1.07,0.49
xG set play,0.18,0.24
xG non-penalty,1.25,0.73
xG on target (xGOT),1.04,1.36
Passes,0,0
Passes,352,583
Accurate passes,292 (83%),503 (86%)
Own half,151,337
Opposition half,141,166
Accurate long balls,30 (58%),34 (49%)
Accurate crosses,4 (25%),4 (19%)
Throws,21,23
Touches in opposition box,14,19
Offsides,4,1
Defence,0,0
Tackles,16,29
Interceptions,8,5
Blocks,2,1
Clearances,28,17
Keeper saves,4,2
Duels,0,0
Duels won,56,57
Ground duels won,35 (44%),44 (56%)
Aerial duels won,21 (62%),13 (38%)
Successful dribbles,9 (38%),6 (43%)
Discipline,0,0
Yellow cards,1,2
Red cards,0,0
Fouls committed,9,11
