stats_name,Haiti,Scotland
Ball possession,54,46
Expected goals (xG),1.05,1.05
Total shots,15,9
Shots on target,2,2
Touches in opposition box,22,21
Big chances,1,2
Big chances missed,1,2
Accurate passes,368 (85%),307 (82%)
Yellow cards,1,3
Corners,4,3
Shots,0,0
Total shots,15,9
Shots off target,9,5
Shots on target,2,2
Blocked shots,4,2
Hit woodwork,0,1
Shots inside box,8,8
Shots outside box,7,1
Expected goals (xG),0,0
Expected goals (xG),1.05,1.05
xG open play,0.99,1.05
xG set play,0.06,0.00
xG non-penalty,1.05,1.05
xG on target (xGOT),0.22,1.18
Passes,0,0
Passes,431,374
Accurate passes,368 (85%),307 (82%)
Own half,164,196
Opposition half,204,111
Accurate long balls,27 (46%),30 (52%)
Accurate crosses,5 (22%),5 (36%)
Throws,14,23
Touches in opposition box,22,21
Offsides,3,1
Defence,0,0
Tackles,12,12
Interceptions,6,6
Blocks,2,4
Clearances,20,17
Keeper saves,1,2
Duels,0,0
Duels won,52,59
Ground duels won,38 (50%),38 (50%)
Aerial duels won,14 (40%),21 (60%)
Successful dribbles,6 (43%),5 (38%)
Discipline,0,0
Yellow cards,1,3
Red cards,0,0
Fouls committed,23,21
