stats_name,Iran,New Zealand
Ball possession,48,52
Expected goals (xG),1.50,1.24
Total shots,17,14
Shots on target,4,8
Touches in opposition box,25,21
Big chances,2,2
Big chances missed,0,0
Accurate passes,314 (77%),376 (84%)
Yellow cards,1,0
Corners,4,1
Shots,0,0
Total shots,17,14
Shots off target,8,4
Shots on target,4,8
Blocked shots,5,2
Hit woodwork,1,0
Shots inside box,10,10
Shots outside box,7,4
Expected goals (xG),0,0
Expected goals (xG),1.50,1.24
xG open play,1.32,0.57
xG set play,0.17,0.67
xG non-penalty,1.50,1.24
xG on target (xGOT),1.72,1.00
Passes,0,0
Passes,409,446
Accurate passes,314 (77%),376 (84%)
Own half,180,225
Opposition half,134,151
Accurate long balls,27 (44%),21 (53%)
Accurate crosses,6 (32%),1 (8%)
Throws,25,16
Touches in opposition box,25,21
Offsides,2,0
Defence,0,0
Tackles,17,13
Interceptions,11,15
Blocks,1,5
Clearances,27,26
Keeper saves,6,2
Duels,0,0
Duels won,54,43
Ground duels won,29 (51%),28 (49%)
Aerial duels won,25 (63%),15 (38%)
Successful dribbles,4 (36%),6 (50%)
Discipline,0,0
Yellow cards,1,0
Red cards,0,0
Fouls committed,10,8
