stats_name,Iraq,Norway
Ball possession,39,61
Expected goals (xG),0.80,2.52
Total shots,11,12
Shots on target,1,5
Touches in opposition box,18,25
Big chances,1,5
Big chances missed,1,2
Accurate passes,271 (81%),477 (89%)
Yellow cards,1,0
Corners,2,5
Shots,0,0
Total shots,11,12
Shots off target,8,4
Shots on target,1,5
Blocked shots,2,3
Hit woodwork,0,0
Shots inside box,8,11
Shots outside box,3,1
Expected goals (xG),0,0
Expected goals (xG),0.80,2.52
xG open play,0.57,1.99
xG set play,0.23,0.53
xG non-penalty,0.80,2.52
xG on target (xGOT),0.60,2.65
Passes,0,0
Passes,334,537
Accurate passes,271 (81%),477 (89%)
Own half,164,294
Opposition half,107,183
Accurate long balls,22 (41%),18 (43%)
Accurate crosses,6 (46%),7 (41%)
Throws,14,22
Touches in opposition box,18,25
Offsides,1,0
Defence,0,0
Tackles,19,15
Interceptions,5,2
Blocks,3,2
Clearances,20,22
Keeper saves,2,0
Duels,0,0
Duels won,52,48
Ground duels won,42 (58%),31 (42%)
Aerial duels won,10 (37%),17 (63%)
Successful dribbles,10 (48%),5 (29%)
Discipline,0,0
Yellow cards,1,0
Red cards,0,0
Fouls committed,12,13
