stats_name,Ivory Coast,Ecuador
Ball possession,48,52
Expected goals (xG),1.52,1.01
Total shots,15,12
Shots on target,4,1
Touches in opposition box,39,16
Big chances,2,1
Big chances missed,2,1
Accurate passes,397 (84%),419 (85%)
Yellow cards,3,1
Corners,3,5
Shots,0,0
Total shots,15,12
Shots off target,8,8
Shots on target,4,1
Blocked shots,3,3
Hit woodwork,1,3
Shots inside box,8,5
Shots outside box,7,7
Expected goals (xG),0,0
Expected goals (xG),1.52,1.01
xG open play,1.42,0.65
xG set play,0.10,0.36
xG non-penalty,1.52,1.01
xG on target (xGOT),1.22,0.03
Passes,0,0
Passes,470,492
Accurate passes,397 (84%),419 (85%)
Own half,206,260
Opposition half,191,159
Accurate long balls,18 (45%),11 (31%)
Accurate crosses,2 (25%),4 (29%)
Throws,14,14
Touches in opposition box,39,16
Offsides,0,0
Defence,0,0
Tackles,14,21
Interceptions,11,13
Blocks,3,1
Clearances,29,18
Keeper saves,1,3
Duels,0,0
Duels won,58,44
Ground duels won,41 (55%),33 (45%)
Aerial duels won,17 (61%),11 (39%)
Successful dribbles,14 (67%),3 (30%)
Discipline,0,0
Yellow cards,3,1
Red cards,0,0
Fouls committed,10,13
