stats_name,Ivory Coast,Norway
Ball possession,47,53
Expected goals (xG),1.49,1.90
Total shots,14,9
Shots on target,5,4
Touches in opposition box,48,26
Big chances,3,4
Big chances missed,2,3
Accurate passes,339 (85%),415 (88%)
Yellow cards,0,1
Corners,14,3
Shots,0,0
Total shots,14,9
Shots off target,9,2
Shots on target,5,4
Blocked shots,0,3
Hit woodwork,0,0
Shots inside box,10,8
Shots outside box,4,1
Expected goals (xG),0,0
Expected goals (xG),1.49,1.90
xG open play,1.00,1.29
xG set play,0.49,0.62
xG non-penalty,1.49,1.90
xG on target (xGOT),1.40,2.02
Passes,0,0
Passes,401,474
Accurate passes,339 (85%),415 (88%)
Own half,166,231
Opposition half,173,184
Accurate long balls,17 (45%),16 (50%)
Accurate crosses,7 (24%),5 (50%)
Throws,16,23
Touches in opposition box,48,26
Offsides,2,2
Defence,0,0
Tackles,24,19
Interceptions,4,5
Blocks,4,0
Clearances,11,37
Keeper saves,1,4
Duels,0,0
Duels won,50,41
Ground duels won,38 (60%),25 (40%)
Aerial duels won,12 (43%),16 (57%)
Successful dribbles,7 (35%),3 (17%)
Discipline,0,0
Yellow cards,0,1
Red cards,0,0
Fouls committed,6,7
