stats_name,Japan,Sweden
Ball possession,52,48
Expected goals (xG),1.21,0.64
Total shots,8,11
Shots on target,3,5
Touches in opposition box,11,13
Big chances,2,1
Big chances missed,1,1
Accurate passes,378 (85%),312 (79%)
Yellow cards,1,2
Corners,2,8
Shots,0,0
Total shots,8,11
Shots off target,3,3
Shots on target,3,5
Blocked shots,2,3
Hit woodwork,0,1
Shots inside box,4,6
Shots outside box,4,5
Expected goals (xG),0,0
Expected goals (xG),1.21,0.64
xG open play,1.21,0.21
xG set play,0.00,0.44
xG non-penalty,1.21,0.64
xG on target (xGOT),1.27,1.16
Passes,0,0
Passes,445,395
Accurate passes,378 (85%),312 (79%)
Own half,188,166
Opposition half,190,146
Accurate long balls,18 (37%),18 (36%)
Accurate crosses,4 (31%),4 (25%)
Throws,14,18
Touches in opposition box,11,13
Offsides,3,2
Defence,0,0
Tackles,13,7
Interceptions,4,5
Blocks,3,2
Clearances,40,21
Keeper saves,4,2
Duels,0,0
Duels won,47,44
Ground duels won,30 (51%),29 (49%)
Aerial duels won,17 (53%),15 (47%)
Successful dribbles,6 (60%),4 (40%)
Discipline,0,0
Yellow cards,1,2
Red cards,0,0
Fouls committed,20,11
