stats_name,Jordan,Algeria
Ball possession,28,72
Expected goals (xG),0.63,1.89
Total shots,8,17
Shots on target,4,8
Touches in opposition box,13,30
Big chances,1,3
Big chances missed,1,2
Accurate passes,181 (72%),561 (88%)
Yellow cards,1,1
Corners,1,10
Shots,0,0
Total shots,8,17
Shots off target,4,4
Shots on target,4,8
Blocked shots,0,5
Hit woodwork,0,0
Shots inside box,4,11
Shots outside box,4,6
Expected goals (xG),0,0
Expected goals (xG),0.63,1.89
xG open play,0.38,0.80
xG set play,0.26,1.09
xG non-penalty,0.63,1.89
xG on target (xGOT),0.62,2.10
Passes,0,0
Passes,251,641
Accurate passes,181 (72%),561 (88%)
Own half,103,231
Opposition half,78,330
Accurate long balls,23 (43%),19 (43%)
Accurate crosses,2 (40%),5 (24%)
Throws,28,23
Touches in opposition box,13,30
Offsides,1,0
Defence,0,0
Tackles,30,25
Interceptions,3,11
Blocks,5,0
Clearances,36,15
Keeper saves,6,3
Duels,0,0
Duels won,60,65
Ground duels won,42 (46%),49 (54%)
Aerial duels won,18 (53%),16 (47%)
Successful dribbles,7 (30%),14 (42%)
Discipline,0,0
Yellow cards,1,1
Red cards,0,0
Fouls committed,11,6
