stats_name,Jordan,Argentina
Ball possession,27,73
Expected goals (xG),0.76,2.13
Total shots,5,12
Shots on target,1,4
Touches in opposition box,4,15
Big chances,1,3
Big chances missed,0,2
Accurate passes,228 (80%),737 (92%)
Yellow cards,3,0
Corners,2,6
Shots,0,0
Total shots,5,12
Shots off target,2,7
Shots on target,1,4
Blocked shots,2,1
Hit woodwork,0,2
Shots inside box,2,6
Shots outside box,3,6
Expected goals (xG),0,0
Expected goals (xG),0.76,2.13
xG open play,0.72,0.24
xG set play,0.04,1.11
xG non-penalty,0.76,1.34
xG on target (xGOT),0.72,1.50
Passes,0,0
Passes,285,801
Accurate passes,228 (80%),737 (92%)
Own half,127,370
Opposition half,101,367
Accurate long balls,13 (37%),16 (62%)
Accurate crosses,2 (29%),3 (60%)
Throws,11,19
Touches in opposition box,4,15
Offsides,1,3
Defence,0,0
Tackles,16,14
Interceptions,19,12
Blocks,1,2
Clearances,13,9
Keeper saves,1,0
Duels,0,0
Duels won,34,32
Ground duels won,32 (52%),29 (48%)
Aerial duels won,2 (40%),3 (60%)
Successful dribbles,9 (56%),3 (33%)
Discipline,0,0
Yellow cards,3,0
Red cards,0,0
Fouls committed,13,7
