stats_name,Mexico,Ecuador
Ball possession,43,57
Expected goals (xG),1.05,0.75
Total shots,15,7
Shots on target,3,1
Touches in opposition box,20,21
Big chances,2,1
Big chances missed,2,1
Accurate passes,248 (78%),341 (83%)
Yellow cards,0,3
Corners,3,8
Shots,0,0
Total shots,15,7
Shots off target,9,5
Shots on target,3,1
Blocked shots,3,1
Hit woodwork,0,1
Shots inside box,10,5
Shots outside box,5,2
Expected goals (xG),0,0
Expected goals (xG),1.05,0.75
xG open play,0.83,0.64
xG set play,0.22,0.12
xG non-penalty,1.05,0.75
xG on target (xGOT),1.14,0.63
Passes,0,0
Passes,316,410
Accurate passes,248 (78%),341 (83%)
Own half,119,145
Opposition half,129,196
Accurate long balls,27 (47%),17 (32%)
Accurate crosses,4 (57%),3 (12%)
Throws,16,22
Touches in opposition box,20,21
Offsides,0,1
Defence,0,0
Tackles,10,11
Interceptions,7,6
Blocks,1,3
Clearances,39,19
Keeper saves,1,1
Duels,0,0
Duels won,52,44
Ground duels won,29 (50%),29 (50%)
Aerial duels won,23 (61%),15 (39%)
Successful dribbles,6 (55%),8 (57%)
Discipline,0,0
Yellow cards,0,3
Red cards,0,1
Fouls committed,10,14
