stats_name,Mexico,England
Ball possession,67,33
Expected goals (xG),1.88,1.61
Total shots,20,6
Shots on target,5,5
Touches in opposition box,37,14
Big chances,2,3
Big chances missed,0,0
Accurate passes,418 (92%),195 (80%)
Yellow cards,2,4
Corners,12,2
Shots,0,0
Total shots,20,6
Shots off target,8,1
Shots on target,5,5
Blocked shots,7,0
Hit woodwork,0,1
Shots inside box,12,4
Shots outside box,8,2
Expected goals (xG),0,0
Expected goals (xG),1.88,1.61
xG open play,0.64,0.77
xG set play,0.45,0.06
xG non-penalty,1.09,0.82
xG on target (xGOT),1.82,2.98
Passes,0,0
Passes,454,244
Accurate passes,418 (92%),195 (80%)
Own half,131,126
Opposition half,287,69
Accurate long balls,30 (71%),22 (49%)
Accurate crosses,13 (25%),1 (25%)
Throws,24,12
Touches in opposition box,37,14
Offsides,1,0
Defence,0,0
Tackles,16,18
Interceptions,7,4
Blocks,0,7
Clearances,13,49
Keeper saves,2,3
Duels,0,0
Duels won,38,51
Ground duels won,27 (40%),40 (60%)
Aerial duels won,11 (50%),11 (50%)
Successful dribbles,5 (45%),9 (47%)
Discipline,0,0
Yellow cards,2,4
Red cards,0,1
Fouls committed,14,7
