stats_name,Mexico,South Africa
Ball possession,60,40
Expected goals (xG),1.46,0.07
Total shots,16,3
Shots on target,4,2
Touches in opposition box,20,2
Big chances,2,0
Big chances missed,0,0
Accurate passes,467 (90%),272 (81%)
Yellow cards,1,2
Corners,3,1
Shots,0,0
Total shots,16,3
Shots off target,7,1
Shots on target,4,2
Blocked shots,5,0
Hit woodwork,1,0
Shots inside box,9,1
Shots outside box,7,2
Expected goals (xG),0,0
Expected goals (xG),1.46,0.07
xG open play,1.14,0.06
xG set play,0.32,0.01
xG non-penalty,1.46,0.07
xG on target (xGOT),1.28,0.13
Passes,0,0
Passes,520,334
Accurate passes,467 (90%),272 (81%)
Own half,279,198
Opposition half,188,74
Accurate long balls,31 (65%),17 (37%)
Accurate crosses,4 (33%),1 (13%)
Throws,21,11
Touches in opposition box,20,2
Offsides,1,1
Defence,0,0
Tackles,12,14
Interceptions,8,7
Blocks,0,5
Clearances,15,17
Keeper saves,2,2
Duels,0,0
Duels won,47,33
Ground duels won,32 (55%),26 (45%)
Aerial duels won,15 (68%),7 (32%)
Successful dribbles,9 (60%),1 (17%)
Discipline,0,0
Yellow cards,1,2
Red cards,1,2
Fouls committed,12,11
