stats_name,Mexico,South Korea
Ball possession,42,58
Expected goals (xG),0.53,0.91
Total shots,8,9
Shots on target,4,2
Touches in opposition box,6,11
Big chances,2,3
Big chances missed,1,3
Accurate passes,349 (82%),488 (84%)
Yellow cards,0,2
Corners,0,2
Shots,0,0
Total shots,8,9
Shots off target,3,4
Shots on target,4,2
Blocked shots,1,3
Hit woodwork,0,0
Shots inside box,5,6
Shots outside box,3,3
Expected goals (xG),0,0
Expected goals (xG),0.53,0.91
xG open play,0.53,0.81
xG set play,0.00,0.10
xG non-penalty,0.53,0.91
xG on target (xGOT),0.90,0.76
Passes,0,0
Passes,427,578
Accurate passes,349 (82%),488 (84%)
Own half,244,303
Opposition half,105,185
Accurate long balls,16 (29%),23 (36%)
Accurate crosses,4 (67%),5 (56%)
Throws,17,25
Touches in opposition box,6,11
Offsides,3,6
Defence,0,0
Tackles,14,17
Interceptions,6,5
Blocks,3,1
Clearances,20,12
Keeper saves,2,3
Duels,0,0
Duels won,42,47
Ground duels won,27 (44%),34 (56%)
Aerial duels won,15 (54%),13 (46%)
Successful dribbles,6 (60%),9 (53%)
Discipline,0,0
Yellow cards,0,2
Red cards,0,0
Fouls committed,9,7
