stats_name,Morocco,Haiti
Ball possession,69,31
Expected goals (xG),3.76,1.22
Total shots,22,9
Shots on target,11,2
Touches in opposition box,45,9
Big chances,5,1
Big chances missed,2,1
Accurate passes,477 (88%),198 (80%)
Yellow cards,0,3
Corners,9,1
Shots,0,0
Total shots,22,9
Shots off target,6,4
Shots on target,11,2
Blocked shots,5,3
Hit woodwork,0,0
Shots inside box,15,4
Shots outside box,7,5
Expected goals (xG),0,0
Expected goals (xG),3.76,1.22
xG open play,3.37,1.06
xG set play,0.39,0.16
xG non-penalty,3.76,1.22
xG on target (xGOT),3.82,0.49
Passes,0,0
Passes,541,247
Accurate passes,477 (88%),198 (80%)
Own half,259,131
Opposition half,218,67
Accurate long balls,17 (50%),21 (48%)
Accurate crosses,7 (32%),2 (67%)
Throws,25,15
Touches in opposition box,45,9
Offsides,5,0
Defence,0,0
Tackles,20,25
Interceptions,8,16
Blocks,3,5
Clearances,14,26
Keeper saves,1,8
Duels,0,0
Duels won,66,56
Ground duels won,54 (54%),46 (46%)
Aerial duels won,12 (55%),10 (45%)
Successful dribbles,16 (55%),11 (55%)
Discipline,0,0
Yellow cards,0,3
Red cards,0,0
Fouls committed,10,18
