stats_name,Netherlands,Japan
Ball possession,60,40
Expected goals (xG),0.78,0.59
Total shots,10,10
Shots on target,6,3
Touches in opposition box,33,19
Big chances,0,0
Big chances missed,0,0
Accurate passes,463 (88%),286 (84%)
Yellow cards,3,0
Corners,5,4
Shots,0,0
Total shots,10,10
Shots off target,3,6
Shots on target,6,3
Blocked shots,1,1
Hit woodwork,0,0
Shots inside box,10,6
Shots outside box,0,4
Expected goals (xG),0,0
Expected goals (xG),0.78,0.59
xG open play,0.33,0.40
xG set play,0.45,0.19
xG non-penalty,0.78,0.59
xG on target (xGOT),2.16,1.32
Passes,0,0
Passes,524,341
Accurate passes,463 (88%),286 (84%)
Own half,154,118
Opposition half,309,168
Accurate long balls,16 (46%),13 (36%)
Accurate crosses,8 (38%),6 (26%)
Throws,21,19
Touches in opposition box,33,19
Offsides,1,0
Defence,0,0
Tackles,11,11
Interceptions,7,4
Blocks,0,1
Clearances,23,32
Keeper saves,1,4
Duels,0,0
Duels won,46,28
Ground duels won,25 (54%),21 (46%)
Aerial duels won,21 (75%),7 (25%)
Successful dribbles,8 (53%),3 (33%)
Discipline,0,0
Yellow cards,3,0
Red cards,0,0
Fouls committed,7,7
