stats_name,Netherlands,Morocco
Ball possession,30,70
Expected goals (xG),0.24,1.38
Total shots,6,11
Shots on target,2,5
Touches in opposition box,17,20
Big chances,1,5
Big chances missed,0,4
Accurate passes,292 (79%),801 (91%)
Yellow cards,0,1
Corners,5,8
Shots,0,0
Total shots,6,11
Shots off target,1,4
Shots on target,2,5
Blocked shots,3,2
Hit woodwork,0,1
Shots inside box,4,7
Shots outside box,2,4
Expected goals (xG),0,0
Expected goals (xG),0.24,1.38
xG open play,0.19,1.26
xG set play,0.05,0.13
xG non-penalty,0.24,1.38
xG on target (xGOT),0.16,2.28
Passes,0,0
Passes,371,879
Accurate passes,292 (79%),801 (91%)
Own half,172,370
Opposition half,120,431
Accurate long balls,16 (34%),21 (44%)
Accurate crosses,3 (30%),4 (22%)
Throws,28,17
Touches in opposition box,17,20
Offsides,3,0
Defence,0,0
Tackles,19,19
Interceptions,11,11
Blocks,2,3
Clearances,22,34
Keeper saves,5,1
Duels,0,0
Duels won,53,53
Ground duels won,35 (46%),41 (54%)
Aerial duels won,18 (60%),12 (40%)
Successful dribbles,2 (14%),8 (38%)
Discipline,0,0
Yellow cards,0,1
Red cards,0,0
Fouls committed,18,15
