stats_name,Netherlands,Sweden
Ball possession,51,49
Expected goals (xG),2.61,1.01
Total shots,10,16
Shots on target,7,8
Touches in opposition box,20,26
Big chances,3,2
Big chances missed,0,1
Accurate passes,398 (89%),361 (85%)
Yellow cards,0,3
Corners,2,5
Shots,0,0
Total shots,10,16
Shots off target,2,5
Shots on target,7,8
Blocked shots,1,3
Hit woodwork,0,0
Shots inside box,6,7
Shots outside box,4,9
Expected goals (xG),0,0
Expected goals (xG),2.61,1.01
xG open play,2.61,0.70
xG set play,0.00,0.31
xG non-penalty,2.61,1.01
xG on target (xGOT),4.20,1.71
Passes,0,0
Passes,449,425
Accurate passes,398 (89%),361 (85%)
Own half,205,209
Opposition half,193,152
Accurate long balls,18 (51%),6 (20%)
Accurate crosses,3 (19%),3 (14%)
Throws,13,22
Touches in opposition box,20,26
Offsides,3,3
Defence,0,0
Tackles,15,18
Interceptions,8,5
Blocks,2,1
Clearances,24,14
Keeper saves,7,2
Duels,0,0
Duels won,43,46
Ground duels won,29 (47%),33 (53%)
Aerial duels won,14 (52%),13 (48%)
Successful dribbles,3 (23%),7 (58%)
Discipline,0,0
Yellow cards,0,3
Red cards,0,0
Fouls committed,9,12
