stats_name,New Zealand,Belgium
Ball possession,46,54
Expected goals (xG),0.24,3.64
Total shots,6,35
Shots on target,2,10
Touches in opposition box,6,79
Big chances,0,4
Big chances missed,0,2
Accurate passes,369 (85%),462 (88%)
Yellow cards,2,0
Corners,5,8
Shots,0,0
Total shots,6,35
Shots off target,3,13
Shots on target,2,10
Blocked shots,1,12
Hit woodwork,0,1
Shots inside box,3,23
Shots outside box,3,12
Expected goals (xG),0,0
Expected goals (xG),0.24,3.64
xG open play,0.13,2.35
xG set play,0.11,1.29
xG non-penalty,0.24,3.64
xG on target (xGOT),0.23,3.14
Passes,0,0
Passes,436,525
Accurate passes,369 (85%),462 (88%)
Own half,219,191
Opposition half,150,271
Accurate long balls,16 (42%),28 (61%)
Accurate crosses,2 (12%),6 (38%)
Throws,17,15
Touches in opposition box,6,79
Offsides,1,1
Defence,0,0
Tackles,10,13
Interceptions,6,10
Blocks,11,1
Clearances,35,27
Keeper saves,5,1
Duels,0,0
Duels won,31,38
Ground duels won,24 (44%),30 (56%)
Aerial duels won,7 (47%),8 (53%)
Successful dribbles,8 (67%),7 (64%)
Discipline,0,0
Yellow cards,2,0
Red cards,0,0
Fouls committed,10,7
