stats_name,New Zealand,Egypt
Ball possession,44,56
Expected goals (xG),1.24,1.87
Total shots,11,19
Shots on target,5,7
Touches in opposition box,17,36
Big chances,3,3
Big chances missed,2,2
Accurate passes,337 (80%),460 (87%)
Yellow cards,2,1
Corners,4,3
Shots,0,0
Total shots,11,19
Shots off target,3,6
Shots on target,5,7
Blocked shots,3,6
Hit woodwork,0,0
Shots inside box,6,12
Shots outside box,5,7
Expected goals (xG),0,0
Expected goals (xG),1.24,1.87
xG open play,0.48,1.65
xG set play,0.75,0.23
xG non-penalty,1.24,1.87
xG on target (xGOT),1.62,2.55
Passes,0,0
Passes,421,526
Accurate passes,337 (80%),460 (87%)
Own half,213,202
Opposition half,124,258
Accurate long balls,20 (40%),22 (46%)
Accurate crosses,3 (20%),7 (32%)
Throws,21,23
Touches in opposition box,17,36
Offsides,3,0
Defence,0,0
Tackles,12,16
Interceptions,4,6
Blocks,6,3
Clearances,22,37
Keeper saves,4,4
Duels,0,0
Duels won,43,54
Ground duels won,27 (44%),34 (56%)
Aerial duels won,16 (44%),20 (56%)
Successful dribbles,7 (47%),7 (58%)
Discipline,0,0
Yellow cards,2,1
Red cards,0,0
Fouls committed,14,8
